codigo_postal,localidad,partido,provincia
6530,SAN JUAN DE NELSON,Carlos Casares,Buenos Aires
6535,SANTA MARIA DE BELLOCQ,Carlos Casares,Buenos Aires
6530,SANTO TOMAS,Carlos Casares,Buenos Aires
6538,SANTO TOMAS CHICO,Carlos Casares,Buenos Aires
6531,SMITH,Carlos Casares,Buenos Aires
6455,CARLOS TEJEDOR,Carlos Tejedor,Buenos Aires
6459,COLONIA SERE,Carlos Tejedor,Buenos Aires
6231,CUENCA,Carlos Tejedor,Buenos Aires
6451,CURARU,Carlos Tejedor,Buenos Aires
6455,DRYSDALE,Carlos Tejedor,Buenos Aires
6467,ENRIQUE LAVALLE,Carlos Tejedor,Buenos Aires
6475,ESTEBAN DE LUCA,Carlos Tejedor,Buenos Aires
6455,HUSARES,Carlos Tejedor,Buenos Aires
6457,INGENIERO BEAUGEY,Carlos Tejedor,Buenos Aires
6457,KILOMETRO 386 (APEADERO FCDFS),Carlos Tejedor,Buenos Aires
6467,KILOMETRO 393 (APEADERO FCDFS),Carlos Tejedor,Buenos Aires
6475,LA HIGUERA,Carlos Tejedor,Buenos Aires
6475,LOS CHAÑARES,Carlos Tejedor,Buenos Aires
6451,LOS INDIOS (CURARU-PDO. CARLOS TEJEDOR),Carlos Tejedor,Buenos Aires
6451,MARUCHA (ESTACION FCGM),Carlos Tejedor,Buenos Aires
6231,PRADERE,Carlos Tejedor,Buenos Aires
6451,SAN CARLOS,Carlos Tejedor,Buenos Aires
6459,SANTA INES (PDO. CARLOS TEJEDOR),Carlos Tejedor,Buenos Aires
6457,TIMOTE,Carlos Tejedor,Buenos Aires
6231,TRES ALGARROBOS,Carlos Tejedor,Buenos Aires
6725,CARMEN DE ARECO,Carmen de Areco,Buenos Aires
6725,ESTRELLA NACIENTE,Carmen de Areco,Buenos Aires
6727,GOUIN,Carmen de Areco,Buenos Aires
6725,LA CENTRAL,Carmen de Areco,Buenos Aires
6725,PARADA TATAY,Carmen de Areco,Buenos Aires
6725,SAN ERNESTO,Carmen de Areco,Buenos Aires
6725,TATAY,Carmen de Areco,Buenos Aires
6727,TRES SARGENTOS,Carmen de Areco,Buenos Aires
6555,ALFALAD,Daireaux,Buenos Aires
6555,ANDANT,Daireaux,Buenos Aires
6557,ARBOLEDAS,Daireaux,Buenos Aires
6471,ATAHUALPA,Daireaux,Buenos Aires
6555,CORONEL MARCELINO FREYRE,Daireaux,Buenos Aires
6555,DAIREAUX,Daireaux,Buenos Aires
6555,LA ARMONIA,Daireaux,Buenos Aires
6555,LA LARGA,Daireaux,Buenos Aires
6439,LA MANUELA,Daireaux,Buenos Aires
6555,LOS COLONIALES,Daireaux,Buenos Aires
6439,LURO,Daireaux,Buenos Aires
6439,MASUREL,Daireaux,Buenos Aires
6471,MOURAS,Daireaux,Buenos Aires
6471,SALAZAR,Daireaux,Buenos Aires
6471,VILLA ALDEANITA,Daireaux,Buenos Aires
6555,VILLA CAROLA,Daireaux,Buenos Aires
7114,CASTELLI,Castelli,Buenos Aires
7114,CENTRAL GUERRERO,Castelli,Buenos Aires
7116,GUERRERO,Castelli,Buenos Aires
7114,LA CORINCO,Castelli,Buenos Aires
