codigo_postal,localidad,partido,provincia
1885,Pueblo Nuevo (Guillermo E. Hudson, Pdo. Berazategui),Berazategui,Buenos Aires
1885,Pueblo Viejo,Berazategui,Buenos Aires
1885,Villa Matilde,Berazategui,Buenos Aires
1885,Villa Real,Berazategui,Buenos Aires
1886,Barrio Maritimo,Berazategui,Buenos Aires
1886,Camino Gral.Belgrano (Km.27 Al 30,9),Berazategui,Buenos Aires
1886,Carlos T. Sourigues,Berazategui,Buenos Aires
1886,John F. Kennedy,Berazategui,Buenos Aires
1886,Ranelagh,Berazategui,Buenos Aires
1886,Ranelagh Estafeta Nº1,Berazategui,Buenos Aires
1886,Rio Encantado,Berazategui,Buenos Aires
1886,Villa Clara,Berazategui,Buenos Aires
1886,Villa Giambruno,Berazategui,Buenos Aires
1890,Barrio Las Hermanas,Berazategui,Buenos Aires
1890,Camino Gral.Belgrano (Km.31 Al 35),Berazategui,Buenos Aires
1890,Juan Maria Gutierrez,Berazategui,Buenos Aires
1890,Ruta 2 Kilometro 32 Al 36,900,Berazategui,Buenos Aires
1893,Centro Agricola El Pato,Berazategui,Buenos Aires
1893,Montaraz,Berazategui,Buenos Aires
1893,Ruta 2 Kilometro 37 Al 45,900,Berazategui,Buenos Aires
1893,Ruta 2 Kilometro 44,500,Berazategui,Buenos Aires
1923,Arroyo Del Pescado,Berisso,Buenos Aires
1923,Arroyo La Maza,Berisso,Buenos Aires
1923,Barrio Obrero Berisso,Berisso,Buenos Aires
1923,Berisso,Berisso,Buenos Aires
1923,Frigorifico Armour,Berisso,Buenos Aires
1923,Palo Blanco,Berisso,Buenos Aires
1923,Villa Azul,Berisso,Buenos Aires
1923,Villa Independencia (Villa Azul, Pdo. Berisso),Berisso,Buenos Aires
1923,Villa Porteña,Berisso,Buenos Aires
1923,Villa San Carlos (Berisso, Pdo.Berisso),Berisso,Buenos Aires
1929,Base Naval Rio Santiago,Berisso,Buenos Aires
1929,Isla Paulino,Berisso,Buenos Aires
1929,Isla Santiago,Berisso,Buenos Aires
6511,Hale,Bolivar,Buenos Aires
6511,Huetel,Bolivar,Buenos Aires
6511,Villa Sanz,Bolivar,Buenos Aires
6550,Bolivar,Bolivar,Buenos Aires
6550,El Porvenir (Bolivar, Pdo. Bolivar),Bolivar,Buenos Aires
6550,La Perla,Bolivar,Buenos Aires
6550,Miramar (Bolivar, Pdo.Bolivar),Bolivar,Buenos Aires
6550,Santa Isabel (Bolivar, Pdo.Gral.Alvear),Bolivar,Buenos Aires
6551,Juan F. Ibarra,Bolivar,Buenos Aires
